match_id,season,match_date,venue,team1,team2,inn1_score,inn1_wickets,chasing_team,inn2_score,inn2_wickets,match_winner,result_type,win_narrative,is_chasing_win,match_stage
1422119,2024,2024-03-22,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,173,6,Chennai Super Kings,176.0,4.0,Chennai Super Kings,wickets,Won Batting Second,1,League
1422120,2024,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Delhi Capitals,Punjab Kings,174,9,Punjab Kings,177.0,6.0,Punjab Kings,wickets,Won Batting Second,1,League
1422121,2024,2024-03-23,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,208,7,Sunrisers Hyderabad,204.0,7.0,Kolkata Knight Riders,runs,Won Batting First,0,League
1422122,2024,2024-03-24,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,193,4,Lucknow Super Giants,173.0,6.0,Rajasthan Royals,runs,Won Batting First,0,League
1422123,2024,2024-03-24,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,168,6,Mumbai Indians,162.0,9.0,Gujarat Titans,runs,Won Batting First,0,League
1422124,2024,2024-03-25,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,Royal Challengers Bengaluru,176,6,Royal Challengers Bengaluru,178.0,6.0,Royal Challengers Bengaluru,wickets,Won Batting Second,1,League
1422125,2024,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,206,6,Gujarat Titans,143.0,8.0,Chennai Super Kings,runs,Won Batting First,0,League
1422126,2024,2024-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,277,3,Mumbai Indians,246.0,5.0,Sunrisers Hyderabad,runs,Won Batting First,0,League
1422127,2024,2024-03-28,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,185,5,Delhi Capitals,173.0,5.0,Rajasthan Royals,runs,Won Batting First,0,League
1422128,2024,2024-03-29,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,182,6,Kolkata Knight Riders,186.0,3.0,Kolkata Knight Riders,wickets,Won Batting Second,1,League
1422129,2024,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,199,8,Punjab Kings,178.0,5.0,Lucknow Super Giants,runs,Won Batting First,0,League
1422130,2024,2024-03-31,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Gujarat Titans,162,8,Gujarat Titans,168.0,3.0,Gujarat Titans,wickets,Won Batting Second,1,League
1422131,2024,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,Chennai Super Kings,191,5,Chennai Super Kings,171.0,6.0,Delhi Capitals,runs,Won Batting First,0,League
1422132,2024,2024-04-01,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,125,9,Rajasthan Royals,127.0,4.0,Rajasthan Royals,wickets,Won Batting Second,1,League
1422133,2024,2024-04-02,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bengaluru,181,5,Royal Challengers Bengaluru,153.0,10.0,Lucknow Super Giants,runs,Won Batting First,0,League
1422134,2024,2024-04-03,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,Delhi Capitals,272,7,Delhi Capitals,166.0,10.0,Kolkata Knight Riders,runs,Won Batting First,0,League
